--contingency
--label
'Percentile_50_SD_2'
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
93, 0.0000000000, -0.4389343000, 0.0000000000, 0.9975466042, -0.0000000000, -0.4389343000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
94, NaN, -0.1022018000, 0.0000000000, 0.9978560700, -0.0000000000, -0.1022018000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
95, 0.0000000000, -0.3445713000, 0.0000000000, 1.0014382369, -0.0000000000, -0.3445713000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
96, NaN, -0.0664334100, 0.0000000000, 0.9986567976, -0.0000000000, -0.0664334100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
97, NaN, -0.0000000000, 0.0000000000, 0.9997652406, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
98, NaN, -0.0000000000, 0.0000000000, 0.9883830662, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
99, NaN, -0.1273975000, 0.0000000000, 0.9927814726, -0.0000000000, -0.1273975000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
100, NaN, -0.0840409700, 0.0000000000, 1.0017198698, -0.0000000000, -0.0840409700, NaN, -0.0000000090, -0.0000000090, 0.0000000000
101, NaN, -0.1494080000, 0.0000000000, 0.9924238869, -0.0000000000, -0.1494080000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
102, NaN, -0.0798153300, 0.0000000000, 0.9980962535, -0.0000000000, -0.0798153300, NaN, -0.0000000090, -0.0000000090, 0.0000000000
103, 0.1245384044, -0.0000000000, 0.0000000000, 1.0006995233, -0.0000000000, 0.1245384044, NaN, -0.0000000090, -0.0000000090, 0.0000000000
104, NaN, -0.0718614100, 0.0000000000, 1.0074562042, -0.0000000000, -0.0718614100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
105, 0.0979792498, -0.0000000000, 0.0000000000, 1.0037435482, -0.0000000000, 0.0979792498, NaN, -0.0000000090, -0.0000000090, 0.0000000000
106, 0.1935523466, -0.0540467400, 0.0000000000, 1.0054197323, -0.0000000000, 0.1395056066, NaN, -0.0000000090, -0.0000000090, 0.0000000000
107, NaN, -0.3410702000, 0.0000000000, 1.0027427978, -0.0000000000, -0.3410702000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
108, 0.0151325581, -0.3319975000, 0.0000000000, 1.0010082691, -0.0000000000, -0.3168649419, NaN, -0.0000000090, -0.0000000090, 0.0000000000
109, NaN, -0.0169090900, 0.0000000000, 1.0032591929, -0.0000000000, -0.0169090900, NaN, -0.0000000090, -0.0000000090, 0.0000000000
110, NaN, -0.1074017000, 0.0000000000, 1.0002487168, -0.0000000000, -0.1074017000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
111, 1.7881412652, -0.0000000000, 0.0000000000, 1.0094154280, -0.0000000000, 1.7881412652, NaN, -0.0000000090, -0.0000000090, 0.0000000000
112, 0.0661488845, -0.0000000000, 0.0000000000, 1.0050668648, -0.0000000000, 0.0661488845, NaN, -0.0000000090, -0.0000000090, 0.0000000000
113, 0.0191423754, -0.0000000000, 0.0000000000, 1.0015784666, -0.0000000000, 0.0191423754, NaN, -0.0000000090, -0.0000000090, 0.0000000000
114, NaN, -0.1151694000, 0.0000000000, 0.9692528906, -0.0000000000, -0.1151694000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
115, NaN, -0.0703469700, 0.0000000000, 1.0004747940, -0.0000000000, -0.0703469700, NaN, -0.0000000090, -0.0000000090, 0.0000000000
116, 0.2382817920, -0.0000000000, 0.0000000000, 0.9947946593, -0.0000000000, 0.2382817920, NaN, -0.0000000090, -0.0000000090, 0.0000000000
117, NaN, -0.1298908000, 0.0000000000, 1.0027556644, -0.0000000000, -0.1298908000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
118, NaN, -0.0535696100, 0.0000000000, 1.0034906736, -0.0000000000, -0.0535696100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
119, NaN, -0.1556232000, 0.0000000000, 1.0027244319, -0.0000000000, -0.1556232000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
120, NaN, -0.0416106100, 0.0000000000, 0.9951876253, -0.0000000000, -0.0416106100, NaN, -0.0000000090, -0.0000000090, 0.0000000000
121, 0.2506087593, -0.0000000000, 0.0000000000, 0.9996870573, -0.0000000000, 0.2506087593, NaN, -0.0000000090, -0.0000000090, 0.0000000000
122, NaN, -0.0247614300, 0.0000000000, 1.0148577190, -0.0000000000, -0.0247614300, NaN, -0.0000000090, -0.0000000090, 0.0000000000
123, NaN, -0.0527719700, 0.0000000000, 1.0014612366, -0.0000000000, -0.0527719700, NaN, -0.0000000090, -0.0000000090, 0.0000000000
124, NaN, -0.1168029000, 0.0000000000, 0.9984451814, -0.0000000000, -0.1168029000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
125, 0.3511368670, -0.0000000000, 0.0000000000, 1.0372088688, -0.0000000000, 0.3511368670, NaN, -0.0000000090, -0.0000000090, 0.0000000000
126, NaN, -0.0718418500, 0.0000000000, 0.9966642524, -0.0000000000, -0.0718418500, NaN, -0.0000000090, -0.0000000090, 0.0000000000
127, NaN, -0.0000000000, 0.0000000000, 0.9904150892, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
128, NaN, -0.0550750300, 0.0000000000, 0.9585136551, -0.0000000000, -0.0550750300, NaN, -0.0000000090, -0.0000000090, 0.0000000000
129, -0.0000000000, -0.0000000000, 0.0000000000, 1.0167471379, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
130, NaN, -0.0000000000, 0.0000000000, 0.9994829577, -0.0000000000, 0.0000000000, NaN, -0.0000000090, -0.0000000090, 0.0000000000
