--ramp rate info
Generator, Unit, ramp rate bound
1056, '2', 0.0385912599
1056, '3', 0.0474688435
1056, '4', 0.0454325080
1821, '1', 3.8347417858
1821, '2', 1.9208869058
1443, '1', 0.1701539387
165, '1', 0.6461690954
1703, '1', 0.3197032054
1703, '2', 0.3884251983
1703, '3', 0.3927389736
1703, '4', 0.4169675726
243, '1', 0.2459912511
2246, '1', 0.1653495913
1409, '1', 0.0272874024
1409, '2', 0.0322867843
300, '1', 0.2685149630
300, '2', 0.2769268744
751, '1', 0.6979626180
1700, '1', 2.2721037563
1700, '2', 0.2620357371
8199, '1', 0.2022609408
8199, '2', 0.0491631088
8199, '3', 0.0417171277
8199, '4', 0.0486660555
2203, '1', 0.4949519650
989, '1', 0.2192630134
989, '2', 0.2812861191
1699, '1', 1.6297013463
1699, '2', 1.3473190070
1699, '3', 2.1502887008
1699, '4', 0.2410290106
1699, '5', 1.6445761365
1699, '6', 0.2405470999
1571, '1', 0.5245987949
1660, '1', 3.5927648563
1660, '2', 2.0870597216
774, '1', 1.6840847437
1753, '1', 2.3188748425
1057, '1', 0.0468906184
1057, '2', 0.0258441401
1057, '3', 0.1175614752
1653, '1', 0.5898919420
1653, '2', 0.2942972249
1016, '1', 0.4736544532
1016, '2', 0.9870346099
1833, '1', 0.5453751909
1833, '2', 0.5097662718
1827, '1', 0.9204920112
1826, '1', 2.4512721868
1825, '1', 2.4767923362
1823, '1', 2.3509270226
1824, '1', 1.1955775910
7911, '1', 5.5943993811
7911, '2', 4.0816590720
1572, '1', 1.6409796874
1698, '1', 1.5432821530
1620, '1', 0.2849295126
1620, '2', 0.1781628312
1620, '3', 0.2553037838
1621, '1', 0.2596823375
1621, '2', 0.2991895503
1620, '4', 0.2867636219
1620, '5', 0.1560010284
1620, '6', 0.2925854955
1665, '1', 2.7595837130
1665, '2', 2.3602308985
1665, '3', 2.0034796623
1665, '4', 3.8708257284
274, '1', 0.9573001390
1251, '1', 0.2656568420
1933, '1', 3.4397788160
1933, '2', 1.7070750269
1704, '1', 1.0064967184
481, '1', 1.1226054340
481, '2', 0.5534555206
1712, '1', 1.6199955781
1710, '1', 1.7767388445
1711, '1', 1.0350456315
2338, '1', 0.4576014678
360, '1', 2.2218293931
360, '2', 0.8912744832
1019, '1', 1.6231134872
1019, '2', 1.3891368427
1828, '1', 0.6297972046
333, '1', 0.0630660732
1745, '4', 0.0288722737
1855, '1', 0.4797957836
8196, '1', 0.0953707910
8196, '2', 0.0382947960
8196, '3', 0.0544188734
8196, '4', 0.0489120445
1708, '1', 3.2080660568
1717, '1', 0.2846562451
1717, '2', 1.1269558081
159, '1', 0.3139126310
1651, '1', 1.0630822945
1893, '1', 2.7386684825
1567, '1', 1.4854636625
1885, '1', 1.5027821316
138, '1', 0.9069671894
304, '1', 1.1402885306
304, '2', 0.5294121211
1656, '1', 1.2820049070
1656, '2', 0.8981557470
1656, '3', 0.6339621965
1659, '1', 1.0498039253
1659, '2', 0.7472442773
1659, '3', 0.6950703024
1657, '1', 1.1847199960
1657, '2', 1.4595933261
1657, '3', 1.7870168340
333, '2', 0.0968174365
344, '1', 0.1349694913
344, '2', 0.0584536684
233, '1', 2.3935846474
262, '1', 0.3858478859
175, '1', 0.5173983788
175, '2', 0.3005203146
175, '3', 0.2644830209
1118, '1', 0.2688832471
1118, '2', 0.2822649764
1118, '3', 0.1219662974
1118, '4', 0.0028831639
1118, '5', 0.0229346619
1118, '6', 0.0100959561
1118, '7', 0.0076410563
1480, '1', 0.0116573665
1480, '2', 0.0400059611
1129, '1', 0.0477877543
1692, '1', 1.6580280341
8434, '1', 0.4084406005
8434, '2', 0.7700222893
8434, '3', 0.7606207647
1920, '1', 0.8078587176
1665, '5', 1.7136769524
1665, '6', 3.4335991641
1665, '7', 2.1375871409
1665, '8', 3.5444980742
1877, '1', 0.0437663336
1735, '3', 0.0888256240
270, '1', 0.9226753389
1299, '1', 0.0981740395
1299, '2', 0.1128926947
1734, '2', 0.2904111933
686, '1', 0.0837996308
686, '2', 0.1128342406
1709, '1', 1.7682464719
1709, '2', 0.2827454718
363, '1', 1.7953420813
363, '2', 2.4466577474
363, '3', 4.1792657175
363, '4', 3.7432257070
363, '5', 2.2984612066
363, '6', 1.2468578732
1168, '1', 0.1588149720
1727, '3', 0.0585511966
1895, '1', 0.0269311818
1895, '2', 0.0138818581
1895, '3', 0.0269169479
1040, '1', 0.0327995657
1040, '2', 0.0318572898
1040, '3', 0.0414249057
1858, '1', 0.1266746252
1852, '1', 1.6471446887
68, '1', 0.7391945867
525, '1', 0.7776516970
8472, '1', 1.0967134501
1457, '1', 0.0537722798
1932, '1', 0.5220018051
76, '1', 0.9869959960
125, '1', 0.3839770616
125, '2', 0.4508230386
125, '3', 0.0732800186
125, '4', 0.1589709534
1889, '1', 0.9448481226
1893, '2', 0.6349270728
1893, '3', 2.6097051758
1858, '2', 1.0844947546
1858, '3', 0.0999670684
1522, '1', 0.0616920332
1522, '2', 0.1285756436
1522, '3', 0.0348690568
239, '1', 1.3621358860
239, '2', 1.4713557756
1666, '1', 0.6075943158
1666, '2', 0.9605101009
248, '1', 1.4432833573
248, '2', 0.7218749671
1702, '1', 1.7055293412
1702, '2', 1.1674461192
1702, '3', 0.5086090055
2203, '2', 0.0564614819
2203, '3', 0.6763953794
1848, '1', 1.1370681799
2399, '1', 3.6675240675
1807, '1', 0.3340492497
554, '1', 0.0690923006
384, '1', 3.2892188414
384, '2', 0.7263301945
384, '3', 0.4813766545
1849, '1', 1.4548196724
1860, '1', 0.6030253845
1447, '1', 1.4221076205
1614, '1', 0.0748578931
1614, '2', 0.0603088197
394, '1', 0.0540447466
253, '1', 1.1116987128
1690, '1', 0.3922073510
1690, '2', 0.2613512992
1223, '1', 0.1619328279
1223, '2', 0.0939571073
1223, '3', 0.1783990512
1223, '4', 0.1304894175
467, '1', 0.3569456923
467, '2', 0.7844044192
467, '3', 0.9005608393
1384, '1', 1.2184583946
2234, '1', 0.0370456357
8403, '1', 1.3291955055
713, '1', 0.1363825735
713, '2', 0.1326188190
713, '3', 0.0639265739
1533, '1', 1.1149897935
1533, '2', 0.1774860864
1920, '2', 0.0685166869
1920, '3', 0.0973395570
2196, '1', 1.4278196565
2196, '2', 0.0756879110
2196, '3', 0.1992790748
1674, '1', 0.7730338250
1674, '2', 0.7888302919
1674, '3', 1.2493688191
8680, '1', 0.1126850695
8680, '2', 0.2337802242
8680, '3', 0.6277610808
8680, '4', 0.1890046117
796, '1', 0.1242651301
1681, '1', 1.8669309760
1681, '2', 0.9255866708
1600, '1', 0.0583207010
1600, '2', 0.0245202873
