--base
--Active power constraint
Bus, sum_pg, pd, gsh, v_n, gshvn2, sum_p_li, sum_p_ti, pslackm_n, pslackp_n, p_relax
129, 0.0000000000, -0.0000000000, 0.0000000000, 1.0543730917, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
130, NaN, -0.0000000000, 0.0000000000, 1.0504634483, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
131, 0.5171685560, -0.0000000000, 0.0000000000, 1.0599996467, -0.0000000000, 0.5171685560, NaN, -0.0000000090, -0.0000000090, 0.0000000000
132, NaN, -0.0000000000, 0.0000000000, 1.0399852944, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
133, NaN, -0.0295707100, 0.0000000000, 1.0299558834, -0.0000000000, -0.0295707099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
134, NaN, -0.0000000000, 0.0000000000, 1.0301970261, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
135, NaN, -0.0000000000, 0.0000000000, 1.0494209046, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
136, NaN, -0.1054979000, 0.0000000000, 1.0580609768, -0.0000000000, -0.1054978999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
137, 0.8610858463, -0.0000000000, 0.0000000000, 1.0599998300, -0.0000000000, 0.8610858464, NaN, -0.0000000090, -0.0000000090, 0.0000000000
138, 0.0646460850, -0.0000000000, 0.0000000000, 1.0540933144, -0.0000000000, 0.0646460851, NaN, -0.0000000090, -0.0000000090, 0.0000000000
139, NaN, -0.1109473000, 0.0000000000, 1.0171320341, -0.0000000000, -0.1109472999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
140, 0.0000000000, -0.1959852000, 0.0000000000, 1.0389213510, -0.0000000000, -0.1959851999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
141, NaN, -0.0000000000, 0.0000000000, 1.0423091459, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
142, NaN, -0.1734817000, 0.0000000000, 1.0450311874, -0.0000000000, -0.1734816999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
143, NaN, -0.0000000000, 0.0000000000, 1.0058996632, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
144, NaN, -0.0000000000, 0.0000000000, 1.0479540035, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
145, 0.2585842794, -0.0000000000, 0.0000000000, 1.0599975105, -0.0000000000, 0.2585842795, NaN, -0.0000000090, -0.0000000090, 0.0000000000
146, NaN, -0.0546823600, 0.0000000000, 1.0165779498, -0.0000000000, -0.0546823599, NaN, -0.0000000090, -0.0000000091, 0.0000000000
147, 0.0000000000, -0.8676003000, 0.0000000000, 1.0492346676, -0.0000000000, -0.8676002999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
148, NaN, -0.1271998000, 0.0000000000, 1.0492517697, -0.0000000000, -0.1271997999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
149, 0.7757529798, -0.0000000000, 0.0000000000, 1.0599988439, -0.0000000000, 0.7757529798, NaN, -0.0000000090, -0.0000000091, 0.0000000000
150, NaN, -0.0923544700, 0.0000000000, 1.0364993348, -0.0000000000, -0.0923544699, NaN, -0.0000000090, -0.0000000091, 0.0000000000
151, NaN, -0.0485304900, 0.0000000000, 0.9920741244, -0.0000000000, -0.0485304899, NaN, -0.0000000090, -0.0000000091, 0.0000000000
152, NaN, -0.0000000000, 0.0000000000, 1.0427687362, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
153, NaN, -0.0000000000, 0.0000000000, 1.0211054365, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
154, NaN, -0.0577529000, 0.0000000000, 1.0592526647, -0.0000000000, -0.0577528999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
155, 0.0193938147, -0.0000000000, 0.0000000000, 1.0287929725, -0.0000000000, 0.0193938148, NaN, -0.0000000090, -0.0000000091, 0.0000000000
156, NaN, -0.0493704100, 0.0000000000, 0.9910709359, -0.0000000000, -0.0493704099, NaN, -0.0000000090, -0.0000000091, 0.0000000000
157, NaN, -0.0000000000, 0.0000000000, 1.0162000492, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
158, 0.0499998000, -0.0000000000, 0.0000000000, 1.0351001686, -0.0000000000, 0.0499998001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
159, 0.0000000170, -0.0000000000, 0.0000000000, 1.0202266133, -0.0000000000, 0.0000000171, NaN, -0.0000000090, -0.0000000091, 0.0000000000
160, NaN, -0.1266524000, 0.0000000000, 1.0221302158, -0.0000000000, -0.1266523999, NaN, -0.0000000090, -0.0000000091, 0.0000000000
161, NaN, -0.0401075200, 0.0000000000, 0.9734689231, -0.0000000000, -0.0401075199, NaN, -0.0000000090, -0.0000000091, 0.0000000000
162, NaN, -0.0000000000, 0.0000000000, 1.0157974554, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
163, NaN, -0.0000000000, 0.0000000000, 1.0190065064, -0.0000000000, 0.0000000001, NaN, -0.0000000090, -0.0000000091, 0.0000000000
